,Tweet, No. Likes,Time,No. Retweets
0,فلوسي اختفت من stc pay فجأه رصيدي صار صفر ومافي رد منكم,0,2022-02-24 00:00:22+00:00,0
1,@SaAskExp Stc pay وفيه خانة تحويل عن طريق مساند تطلع لك بياناتها اذا هي على كفالتك ومباشرة تحول الراتب واطلب لها من نفس التطبيق بطاقة مدى بلاستيكية مجانية عشان لو تبي تشتري او تحاسب او تسحب وترتاح,0,2022-02-23 23:58:38+00:00,0
2,@AmB99o إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 23:56:55+00:00,0
3,@sweet8838 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 23:54:59+00:00,0
4,@AlMadanmfa إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1RTcN,0,2022-02-23 23:54:31+00:00,0
5,@stcpay_ksa نسيت كلمة المرور حق التطبيق pay stc,0,2022-02-23 23:45:58+00:00,0
6,"RT @mm000mm3: #stcpay
@SAMA_GOV 
@stcpay_ksa 
@SAMAcares 
أتقدم بشكوى ضد stc pay 
وذلك لأختفاء رصيدي دون وجه حق 
نتمنى من البنك المركزي يتخ…",0,2022-02-23 23:15:38+00:00,15
7,"@stcpay_ksa السلام عليكم 
انا اليوم حولت فلوس من الراجحي الى stc pay مبلغ 144 و وصل في المحفضه 44 فقط 
باقي المبلغ لو يصل الحساب",0,2022-02-23 23:10:33+00:00,0
8,@JeenyDriverKSA مرحبا تواصلت معكم عن طريق البرنامج لاكثر من مره لكن لم يتم تحويل الرصيد الي STC pay ما المشكلة,0,2022-02-23 23:08:12+00:00,0
9,شروطي. الاشتراك الشهري 150 ريال stc pay. والدائم 400.ارد على كلمه اشتراك بس,3,2022-02-23 23:01:52+00:00,0
10,@stcpay_ksa يبو كل راتبي احوله على Stc pay ولا شفت جوال 😭,1,2022-02-23 22:54:03+00:00,0
11,@stcpay_ksa @SAMA_GOV نحتاج دعمكم لارجاع اموالنا التي سحبت ولم يتم اضافتها في محفظتنا بتبيطيق  STC pay,0,2022-02-23 22:49:02+00:00,0
12,يحلوين ترا م اعر//ض الا بعد المقابل كام ٢٠٠  (stc pay) 💸🤍🤍🤍,0,2022-02-23 22:42:26+00:00,0
13,"@stcpay_ksa @amin9i @Saso7V @777ksa99 @xxx91w_91 @iiieui_ @rashooood25 @VipYmym @faris_designer @abulayal123 @fg1max الف مبرووك للفائزين🌹
وعقبال لنا الفوز stc pay",0,2022-02-23 22:39:46+00:00,0
14,@Eb101999 @stcpay_ksa @_etti8 هيا يا محامي stc pay ادفع العشرة يلي انخصمت ما انضافت https://t.co/WhWdcwXPsW,0,2022-02-23 22:37:35+00:00,0
15,@m7md_mansourii إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 22:32:36+00:00,0
16,@stcpay_ksa @MD_2655 @MoayadA83354690 @wxv0z @S17Noura @FahdAl_Subaie @asmf33 @rawanrawrs @TameemTalib @Boodi_09 @abohdyil احسن من المسابقه ال عمليتها دى رجعوا فلوس الناس ال مش وصلت ليهم لحد الان وهما محتاجينها جدا stc pay,0,2022-02-23 22:03:30+00:00,0
17,@SaAskExp Stc pay  افضل برنامج,0,2022-02-23 22:03:00+00:00,0
