,Tweet, No. Likes,Time,No. Retweets
0,@albalawi_2020 @stcpay_ksa كلنا نفس مشكلتك مدري وش اللي تغير في التحديث الجديد غير فلوسنا اللي راحت اتصل على خدمة العملاء يقولون تواصل مع البنك واتصل على البنك يقولون اتصل على خدمة عملاء اس تي سي باي ما عرفنا وش نسوي كل واحد يرميها على الثاني؟,3,2022-02-23 02:57:31+00:00,0
1,@stcpay_ksa انا محوله من حساب اس تي سي باي الى حسابي الراجحي من يوم السبت والى اليوم ماوصلت ولاحد يرد في خدمة العملاء عندكم,0,2022-02-22 12:08:34+00:00,0
2,@stcpay_ksa السلام عليكم. اخي الكريم. انا حولت من حسابي اس تي سي باي الى حسابي الراجحي.  عمليه التحويل كان يوم الخميس ولليوم لم تصل الحواله. ف نرجو منكم معالجه الامر. ربنا يسعدكم. احاول اتصل ع خدمه العملاء لم يتم الرد. ف ايه الحل.  شكرآ,0,2022-02-21 21:38:20+00:00,0
3,خدمة العملاء حقت اس تي سي باي اسوء خدمة عملاء على وجه الارض,0,2022-02-21 11:43:22+00:00,0
4,"RT @saadineur: اس تي سي باي @stcpay_ksa متعطل له كم يوم. 

نتفهم المشاكل التقنية، لكن غير مقبول ان تتعطل خدمة اي شركة على سطح الكره الارضية…",0,2022-02-19 20:51:15+00:00,5
5,@Beautif85838432 @AZK_SA وين تتكلم يالحبيب! قسم منت داري اش الهرجة! الرجال ما يتكلم عن stc خدمة الاتصال! عندهم شركة اسمها اس تي سي باي حقت مدفوعات زي البنك.. محفظه رقميه,0,2022-02-19 16:24:37+00:00,0
6,@stcpay_ksa انا اتكلم عن شيء حضرتها بنفسي في تطبيق اس تي سي باي لا يعلى عليه خدمات سريعه وموثوقه ودقه في الميعاد وبرضه خدمه يتجاوبوا مع العميل على طول يحلوا مشكله العميل شكرا اس تي سي باي نتمنى لكم التوفيق والنجاح وان شاء الله نراكم على ارض الواقع بانشاء اكبر بنك في الشرق الاوسط,0,2022-02-19 10:13:30+00:00,0
7,"RT @saadineur: اس تي سي باي @stcpay_ksa متعطل له كم يوم. 

نتفهم المشاكل التقنية، لكن غير مقبول ان تتعطل خدمة اي شركة على سطح الكره الارضية…",0,2022-02-19 09:20:07+00:00,5
8,"RT @saadineur: اس تي سي باي @stcpay_ksa متعطل له كم يوم. 

نتفهم المشاكل التقنية، لكن غير مقبول ان تتعطل خدمة اي شركة على سطح الكره الارضية…",0,2022-02-19 07:24:03+00:00,5
9,"RT @saadineur: اس تي سي باي @stcpay_ksa متعطل له كم يوم. 

نتفهم المشاكل التقنية، لكن غير مقبول ان تتعطل خدمة اي شركة على سطح الكره الارضية…",0,2022-02-19 05:05:34+00:00,5
10,"RT @saadineur: اس تي سي باي @stcpay_ksa متعطل له كم يوم. 

نتفهم المشاكل التقنية، لكن غير مقبول ان تتعطل خدمة اي شركة على سطح الكره الارضية…",0,2022-02-18 23:18:39+00:00,5
11,"اس تي سي باي @stcpay_ksa متعطل له كم يوم. 

نتفهم المشاكل التقنية، لكن غير مقبول ان تتعطل خدمة اي شركة على سطح الكره الارضية بشكل كامل لاكثر من ساعه (اقصى حد)، فكيف لعدة ايام ومن شركة ملياريه. 

لرواد الاعمال، وسعوا صدوركم اذا طاحت انظمتكم لبعض الوقت 😂😂 https://t.co/SWVK8Otux6",3,2022-02-18 23:13:58+00:00,5
12,@stcpay_ksa مرحبا في حواله لها 27 ساعه ماوصلت لي التحويل صار من اس تي سي باي الى بنك الراجحي ولم تصل الحواله خدمة الرد الالي سيئة جدا نص ساعه اتصال وما اسمع الى الرد الالي ارجو الرد,0,2022-02-17 12:09:06+00:00,0
13,RT @ahwak: @BMA33AWA غريبة الصحافة أو المؤثرين والاعلاميين ما تطرقوا لهذا لخبر إنقطاع خدمة اس تي سي باي و  الفلوس اللي طارت من حسابار العمل…,0,2022-02-16 14:11:39+00:00,1
14,"@BMA33AWA غريبة الصحافة أو المؤثرين والاعلاميين ما تطرقوا لهذا لخبر إنقطاع خدمة اس تي سي باي و  الفلوس اللي طارت من حسابار العملاء!

@LaughWithMedia",0,2022-02-16 14:11:01+00:00,1
