,Tweet, No. Likes,Time,No. Retweets
0,@JeenyKSA لي اسبوع وانا اكلم جني عشان مبلغ الي في محفظه يقلون حولنها على اس تي سي باي من ثلاث ايام ولي اسبوع ماشوف شي ومشكله انا مبلغ تحول مو عارف وين القاه,0,2022-02-21 21:44:46+00:00,0
1,@stccare_ksa اودعك مبلغ الثلاثاء الماضي وانسحب من البنك ولم يتم ايداعه في محفظة اس تي سي باي !!! المبلغ مبتخر الان !!! ارجو الدعم,0,2022-02-21 18:30:40+00:00,0
2,@stcpay_ksa السلام عليكم انا عندي حساب اس تي سي باي حولت َن محفظه هنقر لا محفظه اس تي سي باي اختصمت من محفظه هنقر وما وصلت محفظه اس تي سي باي ارجو افدتي فلوسي راحت ولا بترجعوها اتوصلت بدعم ثلاثه ايام ومايردو,0,2022-02-21 17:09:54+00:00,0
3,RT @aliadam70: @stcpay_ksa طيب انا محول فلوس من محفظة هنقرشتيشن من ٣ ايام و ما ظهرت عندي في اس تي سي   باي وانخصمت من المحفظة ممكن توضيح ال…,0,2022-02-21 00:08:44+00:00,2
4,RT @aliadam70: @stcpay_ksa طيب انا محول فلوس من محفظة هنقرشتيشن من ٣ ايام و ما ظهرت عندي في اس تي سي   باي وانخصمت من المحفظة ممكن توضيح ال…,0,2022-02-20 15:20:50+00:00,2
5,@stcpay_ksa طيب انا محول فلوس من محفظة هنقرشتيشن من ٣ ايام و ما ظهرت عندي في اس تي سي   باي وانخصمت من المحفظة ممكن توضيح السبب,1,2022-02-20 07:32:35+00:00,2
6,@Beautif85838432 @AZK_SA وين تتكلم يالحبيب! قسم منت داري اش الهرجة! الرجال ما يتكلم عن stc خدمة الاتصال! عندهم شركة اسمها اس تي سي باي حقت مدفوعات زي البنك.. محفظه رقميه,0,2022-02-19 16:24:37+00:00,0
7,"@stcpay_ksa لايزال نظام شركة الاتصالات موجود في محفظة اس تي سي بآي وهو عدم اهتمام بالاقات للتحديث وبدون اخبار العملاء لديي رصيد وانا بالمستفى و اتفاجئ ان لا تعمل بطاقتي شكواي ل بنك النقد السعودي أولا @SAMA_GOV 
نحن مواطنين جميعنا تضررنا من يآخذ حقنا ويعوضنا من هذا الإجراء بالجودة @urpay_sa https://t.co/iMAcLsm7wx",1,2022-02-19 07:38:24+00:00,0
8,"@SNBCares سلام عليكم 

انا شحنت محفظه اس تي سي باي ب 8 الف وتم خصمها من بنك الاهلي 

بس الفلوس لم توصل الى اس تي سي باي 
وماجات رساله نهائيا 
وش الحل https://t.co/0KEiCThFpA",0,2022-02-18 15:04:58+00:00,0
9,@Sara_20050 @stcpay_ksa @McitGovSa انا احول لحسابي البريطاني من السعودي عبر خدمات اس تي سي باي و كانت تجربتي معاهم جدا رائعة طوال سنة والحين اودعت مبلغ فوق ١٢ الف ومختفي مهو موجود في محفظة stcpay وطلع من حسابي السعودي و ابد مدري فلوسي فينها الحين وفوقها اكلمهم يعطيني رد الي شكرا لصبرك وبنرجع قريب وهم لهم اسبوعين!!,0,2022-02-18 11:32:23+00:00,0
10,@A7medd86 انا احول لحسابي البريطاني من السعودي عبر خدمات اس تي سي باي و كانت تجربتي معاهم جدا رائعة طوال سنة والحين اودعت مبلغ فوق ١٢ الف ومختفي مهو موجود في محفظة stcpay وطلع من حسابي السعودي و ابد مدري فلوسي فينها الحين وفوقها اكلمهم يعطيني رد الي شكرا لصبرك وبنرجع قريب وهم لهم اسبوعين!!,0,2022-02-18 11:31:34+00:00,0
11,هذي اخر مرة فحياتي اتعامل مع اس تي سي باي وش ذالتحديث اللي له اسبوعين !!!! محفظة الكترونية ومافيها تقنيين يحدثونها في فترة اقل ! اسبوعين كثييييير!!!!!!,2,2022-02-18 09:21:57+00:00,0
12,@nawaf_alonazi @urpay_sa محفظة رقمية قابلة للشحن، زي اس تي سي باي والانماء باي وهلا الرقمية، تشحنها بالمبلغ اللي تبيه بدون رسوم، وتشتري فيها وتحول، وكل محفظة من ذولا لها مزايا مختلفة، مثلاً اليور باي فيها ميزة كاش باك ١٪ من قيمة الشراء، بمعنى لو شريت بعشرة ريال راح يرجع لك ١٠ هللات من عملية الشراء,2,2022-02-17 09:48:52+00:00,0
