,Tweet, No. Likes,Time,No. Retweets
0,"قامت الحرب وانا للحين ادق على stc pay ولا يردوون !!! شدعوا خدمة العملاء واقفه على الحدود الروسيه وانا ما ادري 
قسم بالله موب معقوووول تردون على الخاص اذا شفتونا تكلمنا بالتغريده وتختفون !!! 
@stcpay_ksa  اللي قاعد يصير شغل خنبقه",0,2022-02-24 14:18:12+00:00,0
1,@stcpay_ksa @amghamgh65 سلام عليكم. في مبلغ تم تحويله من Apple Pay  الى stc pay بتاريخ 15-2 والى يومنا هذا مانزل شي في الحساب اروح بنك الراجحي يقول لك الموضوع في stc pay والدعم حقكم يشرفني مرة يقول لي نرفع شكوى ومرة يقول موضوعك في البنك الراجحي و الحال . لا دعم يتجاوب ولا خدمة عملاء تتجاوب,0,2022-02-24 13:14:57+00:00,0
2,@abu_naif_g إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW28WeN,0,2022-02-24 12:29:58+00:00,0
3,@tas_eem إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-24 12:21:26+00:00,0
4,@i3woo إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-24 12:17:24+00:00,0
5,@tas_eem إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-24 12:16:56+00:00,0
6,@abofars43542893 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-24 12:08:44+00:00,0
7,@8frr7 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-24 12:07:00+00:00,0
8,@ouu77 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-24 12:06:30+00:00,0
9,stc pay خدماتهم سيئة لابعد درجة🙂 مو معقولة يومين اتصل على خدمة العملاء محد يرد عليا!! @stcpay_ksa,2,2022-02-24 08:25:38+00:00,0
10,@AmB99o إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 23:56:55+00:00,0
11,@sweet8838 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 23:54:59+00:00,0
12,@AlMadanmfa إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1RTcN,0,2022-02-23 23:54:31+00:00,0
13,@m7md_mansourii إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 22:32:36+00:00,0
14,@alwlhan3737 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 21:51:27+00:00,0
15,@Zezo_TK إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 21:49:06+00:00,0
16,@shsubaie4 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 21:42:45+00:00,0
17,@Amjadiow228 إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 21:42:22+00:00,0
18,@FatmahHadi_ إذا كان لديك أي مشكلة مع حساب STC pay الخاص بك ، فهذا هو نموذج خدمة عملاء stc pay ، قم بملء مشكلتك وإرسالها ، وسيقومون بالرد على الفور https://t.co/L7uJW1Rlnf,0,2022-02-23 21:41:41+00:00,0
19,@SAMAcares سلام عليكم عندي مشكلة مع stc pay في تاريخ 21/2/2022 حوالة دولية ولم تصل بعد وعند التواصل مع خدمة العملاء بعد اتصلات كثيرة جدًا لم اجد سوى وعود كاذبة او جواب غير واضح وغير مقبول https://t.co/CyGZUVbTXL,0,2022-02-23 20:44:24+00:00,0
20,@stcpay_ksa السلام عليكم تم التحويل دولي عن طريق stc pay ولم تصل الحواله بما ان الحوله لم يتواجد فيها MTCN وتواصلنا مع خدمه العملاء كذا مره ومافيه فايده @CITC_SA @MOFKSA,0,2022-02-23 18:01:56+00:00,0
21,"@stcpay_ksa السلام عليكم 
تمت اضافه مبلغ لمحفظة stc pay 
وتم خصم المبلغ من رصيد الفيزا ولم يظهر في رصيد المحفظه 
وتم التواصل مع خدمه عملاء التطبيق ولا يوجد رد
الرجاء المساعده",0,2022-02-23 16:07:17+00:00,0
22,"@zaki_q8 هلا وسهلا حبيبنا🌹

هل تقصد السحب النقدي عبر رمز QR؟

خدمة السحب عبر رمز QR ملغية بإمكانك إصدار بطاقة مدى والسحب النقدي من أجهزة الصراف الآلي👍💜

لإصدار بطاقتك، افتح تطبيق stc pay 📲

اضغط “البطاقات” من الأسفل

اختر إنشاء بطاقة جديدة (+)

في الاسفل اختر مدى

اختار البطاقة الل...",0,2022-02-23 14:09:21+00:00,0
