,Tweet, No. Likes,Time,No. Retweets
0,@stcpay_ksa حتى خدمه عملاء خاااايسه محد يرد https://t.co/SWOVwBh1Ge,0,2022-02-24 22:23:48+00:00,0
1,@stcpay_ksa والله ثم والله انها اسوى خدمة بالمملكة العربية السعودية,0,2022-02-24 22:21:29+00:00,0
2,"@stcpay_ksa وبعد مرور 36 ساعه ما وصلت كلمت اتصال خدمه العملاء و تواصلت ايضا مع خدمه العملاء عن طريق البرنامج ومافي حل ولا عندهم اي صلاحيه 
مضر للاسف اترك البرنامج و ارجع الي #urpay",0,2022-02-24 21:56:33+00:00,0
3,@stcpay_ksa @mhmdhma19067666 لي اربع ايام مسافر ولا قادر اشتري ولا اسوي شي والسبب ان الفلوس معلقه وللحين ما وصلت يرحم امكم شوفو لنا حل قسم بالله مو حاله هذي سفرتي كلها راحت وانا انتظر المبلغ يوصلني       اقسم بالله لا تعامل زي الخلق ولا خدمات زي الناس حتى خدمة عملاء وجودها وعدمها واحد ،، شوفو لنا حللللل!!!,0,2022-02-24 21:28:04+00:00,0
4,@stcpay_ksa @anaanoos22 لي اربع ايام مسافر ولا قادر اشتري ولا اسوي شي والسبب ان الفلوس معلقه وللحين ما وصلت يرحم امكم شوفو لنا حل قسم بالله مو حاله هذي سفرتي كلها راحت وانا انتظر المبلغ يوصلني       اقسم بالله لا تعامل زي الخلق ولا خدمات زي الناس حتى خدمة عملاء وجودها وعدمها واحد ،، شوفو لنا حللللل!!!,0,2022-02-24 21:26:15+00:00,0
5,@stcpay_ksa لي اربع ايام مسافر ولا قادر اشتري ولا اسوي شي والسبب ان الفلوس معلقه وللحين ما وصلت يرحم امكم شوفو لنا حل قسم بالله مو حاله هذي سفرتي كلها راحت وانا انتظر المبلغ يوصلني       اقسم بالله لا تعامل زي الخلق ولا خدمات زي الناس حتى خدمة عملاء وجودها وعدمها واحد ،، شوفو لنا حللللل!!!,0,2022-02-24 21:18:00+00:00,0
6,RT @salemsolim: سجلت بتطبيق #stcpay قبل أسبوعين بعد نصيحة صديق - سامحه الله - وحولت للتجربة 100 ثم 300 ريال من حسابي البنكي، واستحسنت الفكر…,0,2022-02-24 20:58:01+00:00,6
7,RT @7MoOoODy_GaMeR: @Abdulaziz__14 @khaled @stcpay_ksa @SAMA_GOV والله مثلك انتظر حوالة من 9 ايام ماجاني شي  حوالة من Stc pay الى بنك الأهل…,0,2022-02-24 20:57:59+00:00,1
8,"@Abdulaziz__14 @khaled @stcpay_ksa @SAMA_GOV والله مثلك انتظر حوالة من 9 ايام ماجاني شي  حوالة من Stc pay الى بنك الأهلي 
تواصلت هنا يقلي ارجع التطبيق
اتواصل من التطبيق مافي رد ادخل عليهم اتصال
بعد أكثر من ربع ساعة يرد وبعدين يقلي انتظر
انتظر يجيني التقييم هل انت راضي عن خدمة الموظف
ويقفل الخط",0,2022-02-24 20:56:28+00:00,1
9,RT @isaritaa84: @stcpay_ksa مو معقول تسحبوا فلوس الناس وماتردوا على على خدمه عملاء ومافي طرق تواصل  كيف ارفع شكوى؟ ولا على مؤسسة النقد ولا…,0,2022-02-24 20:41:06+00:00,1
10,"@stcpay_ksa 
السلام عليكم 
من أمس وحسابي تصفر وحولت وبرضه بيطلع اصفار ولان بتجيني حولات من شركة مرسول برضه اصفار ايش الوضع واكلم خدمة العملاء يلطعونا بالساعه وبعدها ولا افادونا ردهم تم الرفع للقسم المختص
 نرفع شكوى لمؤسسة النقد ولاكيف الوضع احنا اخترنا محفظه تحفظ اموالنا",0,2022-02-24 19:27:55+00:00,0
11,@stcpay_ksa للاسف مبلغي مفقود من المحفظة ولا عاد اضمنكم بعد كذا! عقب التحديث الجديد عندكم كل شي مضروب حتى اضافة الاموال ماتبان وتوضح بالمحفظة ولا احد يرد ع المكالمات ولا بالدعم مباشرة عبر التطبيق للاسف خدمة سيئة للغاية!!!!!!,0,2022-02-24 19:13:10+00:00,0
12,@stcpay_ksa انا بقالي اسبوع بحاول اتصل على رقمكم بخصوص استرداد مبلغ مشتريات اونلاين وعن طريق التطبيق ( تحدث معنا ، بدأ الدردشة ) ومافيش اي رد .. تم اصدار رقم مرجعي من البائع من شهر والى الان لم يام ايداع المبلغ في حسابي بصراحة خدمة مقرفة وزي الزفت 😏😡🤬,0,2022-02-24 19:09:49+00:00,0
13,"@stcpay_ksa 

من ثلاث ايام وانا اتصل على خدمة العملاء ولا يردون ولا حتى بالمحادثه الكتابيه مافيه استجابه ارجوا التجواب معي على الخاص",0,2022-02-24 19:04:20+00:00,0
14,@stcpay_ksa يا اوادم حسابي مجمد بدون سبب وش الوضع اكلم خدمة العملاء ما يردون وش التطبيق النايم ذا احط فلوسي فالتجوري احسن لي #عجبي!!,0,2022-02-24 18:59:53+00:00,0
15,@stcpay_ksa ممكن احد  يرد  علينا  خدمة العملاء  بس اسم  ما يخدمو احد,0,2022-02-24 18:46:13+00:00,0
16,@stcpay_ksa خدمة العملا  مايرد ع احد    سحلت فلوس  من  الصراف   ما طلعت لي  واختصمت من حسابي  راجعت بنك العربي  يقولو  كلم  اس تي سي باي,1,2022-02-24 18:37:35+00:00,0
17,@stcpay_ksa عملية تحويل 500 ريال بتاريخ 21 فبراير جاني اشعار تم الالغاء  ولكن تم خصم المبلغ من حسابي الرياض  تواصلت معاكم 3 مرات كل مره ما تردون الا بعد 15 دقيقة بدون فائدة باختصار خدمة فاشلة اخر مره اتعامل معكم فيها بس يرجع المبلغ حذف نهائي لتطبيقكم الفاشل,0,2022-02-24 18:35:25+00:00,0
18,@stcpay_ksa مو معقول تسحبوا فلوس الناس وماتردوا على على خدمه عملاء ومافي طرق تواصل  كيف ارفع شكوى؟ ولا على مؤسسة النقد ولا هيئة الاتصالات؟ افضل !! @SAMAcares @CITC_SA,0,2022-02-24 18:32:00+00:00,1
19,RT @omrseel: @stcpay_ksa حولت بتاريخ 4 فبراير وللان ماوصل.. واتصلت قبل اسبوع على خدمة العملاء وقالو نشوف المشكلة ونتواصل معاك وللان لاوصلت…,0,2022-02-24 18:24:00+00:00,1
20,RT @Mahmoudoomh: @stcpay_ksa خدمه زي الزفت فين الفرع حقكم في الخبر فلوس ليها شهر ما وصلت وما عارف اتواصل مع احد,0,2022-02-24 18:20:10+00:00,1
21,RT @Mahmoudoomh: @stcpay_ksa مفيش كمنت اجابي كله سلبي خدمه زي الزفت فلوس ليها شهر ما وصلت ولا عرف اوصل لاحد كل ارقمهم مشغوله,0,2022-02-24 18:19:25+00:00,1
22,@hmwd06382502 @stcpay_ksa حتى ردهم في الخاص مايفيد يقولون لك كلم خدمة العملاء في التطبيق,0,2022-02-24 18:15:28+00:00,0
23,@stcpay_ksa مفيش كمنت اجابي كله سلبي خدمه زي الزفت فلوس ليها شهر ما وصلت ولا عرف اوصل لاحد كل ارقمهم مشغوله,0,2022-02-24 18:02:04+00:00,1
24,@stcpay_ksa خدمه زي الزفت فين الفرع حقكم في الخبر فلوس ليها شهر ما وصلت وما عارف اتواصل مع احد,0,2022-02-24 18:00:58+00:00,1
25,"@stcpay_ksa أسوأ خدمة عملاء ع الاطلاق ... احاول للتواصل من اكتر من ٣ ايام و مفيش رد علي التطبيق او على التليفون و تم إبلاغ المشكله بسحب مبلغ متكرر بدون وجه حق و لا يوجد رد 
ان لم يتم الرد و التواصل سيتم الشكوي ل @SAMA_GOV",0,2022-02-24 16:34:54+00:00,0
