,Tweet, No. Likes,Time,No. Retweets
0,@HungerStation لا سامحكم الاه انا مندوب عندكم و حولت فلوس من المحفظة وانخصمت  من المحفظة وما وصلت ل اس تي سي باي اكلم الدعم بهنقر يقلي حولنا الفلوس راجع مع اس تي سي اكلم اس تي سي يقلي ما وصلنا شي وين فبوسي راحت ٣٤٤ ريال ما بسامحكم فيها ليوم الدين,0,2022-02-22 21:16:44+00:00,0
1,@stcpay_ksa  السلام عليكم حولت فلوس من اس تي سي باي. الا بنك الخليج الدولي (ميم) ولم تصل الفلوس كملت اكثر من 72 ساعه,0,2022-02-21 10:53:40+00:00,0
2,RT @aliadam70: @stcpay_ksa طيب انا محول فلوس من محفظة هنقرشتيشن من ٣ ايام و ما ظهرت عندي في اس تي سي   باي وانخصمت من المحفظة ممكن توضيح ال…,0,2022-02-21 00:08:44+00:00,2
3,RT @mdlal2006: @stcpay_ksa أكثر الناس تشتكي ان في فلوس لم تظهر في الحساب البرنامج.... وانا لدي عمليات لم تظهر في برنامج ارجوا من مؤسسة النق…,0,2022-02-20 23:00:30+00:00,1
4,"@stcpay_ksa أكثر الناس تشتكي ان في فلوس لم تظهر في الحساب البرنامج.... وانا لدي عمليات لم تظهر في برنامج ارجوا من مؤسسة النقد التدخل السريع والعاجل ل ايقاف شركة اس تي سي باي حتى ارجاع الاموال الى اصحابها وحل مشاكل لديهم . @SAMA_GOV @urpay_sa @stcpay_ksa @stcpay_ksa @stcpay_bhr 
966567619251 https://t.co/fRePIFN70G",1,2022-02-20 20:35:23+00:00,1
5,RT @_Rir0: @stcpay_ksa كفاية سرقتونا وكل ماندق نرفع لك معاملة 5 موظف يرفع معاملة وماشفنا منكم شيء هاتي فلوس ونحول ع @urpay_sa  ياجماعة لحد…,0,2022-02-20 15:34:07+00:00,3
6,RT @aliadam70: @stcpay_ksa طيب انا محول فلوس من محفظة هنقرشتيشن من ٣ ايام و ما ظهرت عندي في اس تي سي   باي وانخصمت من المحفظة ممكن توضيح ال…,0,2022-02-20 15:20:50+00:00,2
7,RT @Rehamabd93: @stcpay_ksa السلام عليكم حولت فلوس من اس تي سي باي لحسابي بالبنك من يوم الخميس و لسا ما وصلت؟,0,2022-02-20 15:16:51+00:00,1
8,@stcpay_ksa السلام عليكم حولت فلوس من اس تي سي باي لحسابي بالبنك من يوم الخميس و لسا ما وصلت؟,1,2022-02-20 15:02:39+00:00,1
9,@stcpay_ksa طيب انا محول فلوس من محفظة هنقرشتيشن من ٣ ايام و ما ظهرت عندي في اس تي سي   باي وانخصمت من المحفظة ممكن توضيح السبب,1,2022-02-20 07:32:35+00:00,2
