,Tweet, No. Likes,Time,No. Retweets
0,"@stcpay_ksa @arxvi69 التطبيق من أمس فيه مشكلة أجريت عملية اضافة أموال من أبل باي وتم خصم المبلغ من حسابي البنكي لكن لم يتم اضافة المبلغ لمحفظتي في اس تي سي ؟؟
من أمس أحاول أتواصل مع خدمة العملاء ولا يوجد مجيب",0,2022-02-28 10:53:25+00:00,0
1,"@stcpay_ksa @Mo0orouj التطبيق من أمس فيه مشكلة أجريت عملية اضافة أموال من أبل باي وتم خصم المبلغ من حسابي البنكي لكن لم يتم اضافة المبلغ لمحفظتي في اس تي سي ؟؟
من أمس أحاول أتواصل مع خدمة العملاء ولا يوجد مجيب",0,2022-02-28 10:52:37+00:00,0
2,"@stcpay_ksa التطبيق من أمس فيه مشكلة أجريت عملية اضافة أموال من أبل باي وتم خصم المبلغ من حسابي البنكي لكن لم يتم اضافة المبلغ لمحفظتي في اس تي سي ؟؟
من أمس أحاول أتواصل مع خدمة العملاء ولا يوجد مجيب !!!",0,2022-02-28 10:37:25+00:00,0
3,@stcpay_ksa @MoradBlwi السلام عليكم حول لحسابي في اس تي سي باي ولم تصل الحواله ولا يوجد رد من الابلكيشن ولا خدمة العملاء مالحل وشكراً,0,2022-02-27 18:07:49+00:00,0
4,@stcpay_ksa يا اس تي سي باي 30 دقيقه #خدمه العملاء ماترد,0,2022-02-27 16:37:38+00:00,0
5,"@stc_ksa السلام عليكم 

الوالد ينخصم من رصيده كل يوم مبلغ ! ولا هو مفعل نت ولا باقات ولا هو يعرف لهالامور ، وتم التاكيد من تطبيق ماي اس تي سي انه غير مشترك باي خدمه ، نرجو الحل",0,2022-02-27 15:09:49+00:00,0
6,"@SAMAcares @stcpay_ksa 

تم تغذية المحفظة بمبلغ وتم خصمه مباشرة من البنك ولم يظهر في تطبيق اس تي سي باي علمًا انني اتصلت في البنك وافادوا بأن المبلغ تم  خصمه وتم التواصل مع خدمة العملاء عملاء اس تي سي باي وبدون فائده 
نأمل الرد العاجل وشكرًا",0,2022-02-27 15:00:59+00:00,0
7,@stccare_ksa تطبيق اس تي سي خدمة اعادة الشحن عبر ابل باي عاطله من امس احاول,0,2022-02-27 10:32:55+00:00,0
8,"@stcpay_ksa 
هل خدمة شحن رصيد سوا عبر اس تي سي باي متوقغه .. مالقيت ايقونه شحن الرصيد",0,2022-02-27 10:17:21+00:00,0
9,@stccare_ksa يعني بالمختصر اصبر وانتبه تشترك مره ثانيه بأي خدمه من اس تي سي,0,2022-02-25 04:33:54+00:00,0
10,@stcpay_ksa خدمة العملا  مايرد ع احد    سحلت فلوس  من  الصراف   ما طلعت لي  واختصمت من حسابي  راجعت بنك العربي  يقولو  كلم  اس تي سي باي,1,2022-02-24 18:37:35+00:00,0
11,@albalawi_2020 @stcpay_ksa كلنا نفس مشكلتك مدري وش اللي تغير في التحديث الجديد غير فلوسنا اللي راحت اتصل على خدمة العملاء يقولون تواصل مع البنك واتصل على البنك يقولون اتصل على خدمة عملاء اس تي سي باي ما عرفنا وش نسوي كل واحد يرميها على الثاني؟,4,2022-02-23 02:57:31+00:00,0
12,@stcpay_ksa السلام عليكم. اخي الكريم. انا حولت من حسابي اس تي سي باي الى حسابي الراجحي.  عمليه التحويل كان يوم الخميس ولليوم لم تصل الحواله. ف نرجو منكم معالجه الامر. ربنا يسعدكم. احاول اتصل ع خدمه العملاء لم يتم الرد. ف ايه الحل.  شكرآ,0,2022-02-21 21:38:20+00:00,0
13,خدمة العملاء حقت اس تي سي باي اسوء خدمة عملاء على وجه الارض,0,2022-02-21 11:43:22+00:00,0
