,Tweet, No. Likes,Time,No. Retweets
0,@stcpay_ksa اقسم بالله انكم ازبل تطبيق و ازبل خدمة عملاء ما منكم فايده وجودكم و عدمه واحد يا فاشلين,0,2022-02-24 10:38:53+00:00,0
1,"#Stcpay 

أسوأ بنك او تطبيق ممكن تتعامل معه
لا انصح بالتعامل معه لسوء خدمة العملاء وكثرة الاعطال والتأخر الشديد في حل المشاكل 
✋🏼",1,2022-02-24 07:32:51+00:00,0
2,"@stcpay_ksa 
والله افشل تطبيق وافشل خدمه عملاء",1,2022-02-24 07:27:14+00:00,0
3,"@zaki_q8 هلا وسهلا حبيبنا🌹

هل تقصد السحب النقدي عبر رمز QR؟

خدمة السحب عبر رمز QR ملغية بإمكانك إصدار بطاقة مدى والسحب النقدي من أجهزة الصراف الآلي👍💜

لإصدار بطاقتك، افتح تطبيق stc pay 📲

اضغط “البطاقات” من الأسفل

اختر إنشاء بطاقة جديدة (+)

في الاسفل اختر مدى

اختار البطاقة الل...",0,2022-02-23 14:09:21+00:00,0
4,@stcpay_ksa للأسف خدمة سيئة جداً ٣ أيام وما وصلت الحوالة👎🏻، تطبيق يحتاج الكثير من التطوير.,0,2022-02-23 13:57:08+00:00,0
5,@stcpay_ksa تطبيق فاشل بكل معاني.  يعلق مايشتغل التحويلات ماتوصل خدمة سيئه جداً وخدمة العملاء اسواء ماتتخيل.  لي اسبوع ارسل ماحد يجاوبني.  نصيحه لاحد يحمل التطبيق هذا 😡😡😡,0,2022-02-23 13:55:13+00:00,0
6,RT @Ma7md_i: @stcpay_ksa انتهت المشكله وتم عوده عمل التطبيق بشكل ممتاز ، فلوسنا وين ؟ من يوم 14-feb حتى اليوم ماوصلت الفلوس ولا رجعت للحساب…,0,2022-02-23 13:45:04+00:00,1
7,"RT @Bassam_R0ck: @stcpay_ksa بدل ما توزع هدايا اعطينا فلوسنا اللى ضاعت عندكم 
اول مره ب حياتي اشوف تطبيق يعمل تحديث و ياخد فلوس العملاء و ا…",0,2022-02-23 11:20:00+00:00,1
8,@stcpay_ksa انتهت المشكله وتم عوده عمل التطبيق بشكل ممتاز ، فلوسنا وين ؟ من يوم 14-feb حتى اليوم ماوصلت الفلوس ولا رجعت للحساب ؟ ومن امس احاول التواصل مع خدمه العملاء ولكن لايوجد رد ؟ مسؤوليات الناس ووقتهم ماهو لعبه ، تطبيق سيء وتعامل سيء بشكل لايوصف,0,2022-02-23 09:42:03+00:00,1
9,@stcpay_ksa فاشلين ، خدمة سيئه لا خدمة عملاء يردون ولا تطبيق سهل,0,2022-02-23 08:05:57+00:00,0
10,"@stcpay_ksa بدل ما توزع هدايا اعطينا فلوسنا اللى ضاعت عندكم 
اول مره ب حياتي اشوف تطبيق يعمل تحديث و ياخد فلوس العملاء و اتواصلنا معكم عن طريق الدعم اللى ما حد يرد عليه واتواصلنا خاص و تيلفون و مافي رد 
صراحه خدمه اكثر من سيئه",0,2022-02-23 05:23:14+00:00,1
11,"@salemsolim @Barjasbh stcpay
تطبيق ممتاز جدا ولكن للأسف بعض الحوالات يصادفها خلل في النظام وتتعطل كل أمورك ومصالحك ولاتصل الحوالة لمدة قد تصل لأسبوعين وحدثت معي شخصيا!! 
ثانيا أوافقك أن خدمة العملاء لديهم سيئة سيئة سيئة جدا ولا تليق",0,2022-02-22 22:20:37+00:00,0
12,"@stcpay_ksa معك أريج من خدمة دعم مناديب هنقرستيشن
نعتذر عن التأخر بالرد

بعد التحقق، تبين أنك قمت بتحويل مبلغ [157.16 ريال سعودي] من المحفظة إلى stc pay بتاريخ 15.02.2022 الساعة 09:55 إلى رقم حسابك [966505115395+]، يرجى تحديث تطبيق stc pay إلى أحدث إصدار والتحقق من حساب stc pay الخاص بك",0,2022-02-22 14:44:54+00:00,0
13,"@AlRajhiBankCare 
حولت مبلغ امس من تطبيق الراجحي لتطبيق stcpay والمبلغ اختفى ماهو موجود لل بتطبيق الراجحي ولا stcpay كلمت خدمه العملاء قالو ٢٤ ساعه وهي بحسابك ومرت فوق ٢٤ ساعه ولا رجع شي وكلمت الخدمه مره ثانيه كل شوي يصرفون لي كلام ولا احصل اجابه",0,2022-02-22 14:16:56+00:00,0
14,"@stcpay_ksa الحل اللي تم إرساله عبر الخاص ما يعتبر حل، لأني انتظرت بالساعات لخدمه عملاء التطبيق محد يرد كيف توجهوني لهم؟ لا رقم فيه رد ولا هنا رد ولا تطبيق فيه رد، عذراً هل خدمه عملائكم وهميه؟ 
@SAMA_GOV",0,2022-02-22 13:02:07+00:00,0
15,"@stcpay_ksa تواصلت معكم كذا مره من حسابي الآخر ولا في تجاوب ابداً، لا خاص ولا رقم ولا تطبيق 
أضفت مبلغ كبير وجيت بحوله دولي ورفض التحويل لما رجعت اجرب من جديد المبلغ مختفي من الحساب ممكن اعرف وين راح؟ وين خدمة العملاء؟ 
@SAMA_GOV",0,2022-02-22 12:50:41+00:00,0
16,"@stcpay_ksa تم عمل حواله من يومين الي بنك الجزيره ولم تصل حتي الآن وتم إجراء عده محاولات للتواصل مع خدمه عملاء التطبيق دون أي نتيجه او اي رد 
وكل اللي بتعملوه ردود آليه فقط دون حلول 
تطبيق فاشل بامتياز",0,2022-02-22 07:04:43+00:00,0
17,"@stcpay_ksa استغرب من تطبيق STCpay عند الاتصال بالرقم الموحد لديهم لمدة طويلة ولكن بدون جدوى والعذر ان جميع الموظفين مشغولون في خدمة عملاء اخرين لكن عندما تدخل على تويتر تجد من اتصل لساعات ولكن بدون رد كيف يكون مشغولين والكل يشتكي من عدم الرد ؟!!!!!!
عجيب التناقض.",0,2022-02-22 00:55:37+00:00,0
18,@stcpay_ksa السلام كلمت الادهم يقول الموظف ليتواصل معاي و الى الحين ما تواصل لا خدمه ولا تطبيق زي الناس,0,2022-02-21 20:57:09+00:00,0
19,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-21 20:31:50+00:00,105
20,RT @MD_Motaher: تم تحويل مبلغ عبر تطبيق stcpay ولكن لم يصل للمستلم و عند طلب خدمة الدعم من التطبيق لا احد يرد على الرسائل ولا الاتصال !! @s…,0,2022-02-21 20:26:40+00:00,1
21,"تم تحويل مبلغ عبر تطبيق stcpay ولكن لم يصل للمستلم و عند طلب خدمة الدعم من التطبيق لا احد يرد على الرسائل ولا الاتصال !! @stcpay_ksa 
الاخوه في وزارة التجاره الرجاء النظر في الموضوع هناك العديد من الاشخاص تعرضو لنفس المشكله و بمبالغ لا يستهان فيها تختفي بدون مبرر@MCgovSA @cpaksa https://t.co/XFgh6VLm0a",0,2022-02-21 19:18:31+00:00,1
22,@stcpay_ksa تطبيق فاشل جداً خدمة عملا سيئه,0,2022-02-21 19:13:50+00:00,0
23,@abdullahaljura3 @stcpay_ksa انت يوم العالم لهم 10 أيام في تطبيق الورعنه المتجمعه رفعنا شكوى ولانفع 55 ألف نوموها عندهم رواتب ونهاية خدمة عماله ورفعو قضايا وننتظر محكمة العمال تطبيق نكبه الرجاء من الجميع رفع شكوى على وزارة النقد,0,2022-02-21 18:23:59+00:00,0
24,@stcpay_ksa اقول بلا نصب فين فلوسي اضيف رصيد من ابل باي ويختفى في تطبيقكم المعفن ذا  لا مافي خدمة عملا ولا يردون ع العملا قسم بالله تطبيق مخيس معفن توبه من التعامل معاكم,0,2022-02-21 18:21:30+00:00,0
25,@stcpay_ksa @eiivxo توبه اني اتعامل مع تطبيق STC PAY ورطني وسحب فلوسي ومافيه رد من خدمة العملاء حسبي الله ونعم الوكيل,0,2022-02-21 11:03:37+00:00,0
26,@stcpay_ksa @SAMA_GOV حسبي الله عليكم ياحرامية لاموظفين ولا خدمة زي الناس ولا تطبيق https://t.co/JwUF71KmTU,0,2022-02-21 10:08:34+00:00,0
27,@aliH090 @stcpay_ksa تطبيق زبالة و خدمة العملاء اخس منهم بعد,0,2022-02-21 08:17:37+00:00,0
28,"@stcpay_ksa تم عمل حواله بعد إصلاح التطبيق ولكنها لم تصل حتي الآن ولايتم اي رد او اجابه من خدمه عملاء التطبيق والوضع أسوأ مايكون 
تطبيق اصبح غير جيد بالمئه والان يتم رفع شكوي لمؤسسه النقد السعودي",0,2022-02-21 07:48:41+00:00,0
29,"تطبيق @urpay_sa رهيب بشكل 👌🏽واعتمده تطبيقي المفضل

وسلم لي على خدمه  @stcpay_ksa رادين على بعد 5 ! داق اخطب انا",0,2022-02-21 05:57:37+00:00,0
30,@stcpay_ksa تطبيق ممتاز لاكن للأسف خدمة عملاء سيئة ولايمكن خدمتك في حالة رغبتك بالاستفسار ؟؟؟ وعدم الرد بالمحادثة او الاتصال هو شعارهم,0,2022-02-21 03:37:26+00:00,0
31,@stcpay_ksa الحين صار 28 ساعة الى ما وصلتني التحويله .ثانيا خدمة العملاء لم يرد علينا . فأرجوا حل المشكلة بأسرع وقت والا نبطل نتعامل معكم .. ورجعوا فلوسي اللي حولته عن طريق تطبيق stc pay,0,2022-02-20 22:09:58+00:00,0
32,@stcpay_ksa @snop_dog9 25 دقيقه و لا زلت انتظر احد يرد لا تطبيق و لا تويتر و لا هاتف خدمه عملاء غريبه,0,2022-02-20 20:27:26+00:00,0
33,@stcpay_ksa أسوء تطبيق و أسوء خدمة عملاء حيث تم الخصم الحساب المصرفي و لم يتم إضافتها في محفظة التطبيق,0,2022-02-20 19:55:36+00:00,0
34,بعد تعطل خدمة Stcpay الأيام الماضية تطبيق urpay التابع لمصرف الراجحي يطلق حملات تسويقية للتطبيق .. الطريف في الموضوع أن الراجحي اليوم تعطل ولا قدروا المستخدمين يشترون او يدخلون التطبيق https://t.co/HDuM3nHSwn,2,2022-02-20 18:29:51+00:00,0
35,"بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعطل التطبيق لعدة أيام غريب صراحة من شركة رائدة
وخدمة العملاء اسوء منهم
تخيل يقفل الخط بوجه العميل
وتتواصل مع حسابهم بتويتر ولا يردون عليك
#يوم_التاسيس",0,2022-02-20 16:44:13+00:00,0
36,"#stcpay
@stcpay_ksa
تطبيق جايب العيد بالناس والحساب هنا يرد عليك بكل برود كلم خدمة العملاء 🤣
خدمة العملاء  تضيع وقتك ويسحبون",0,2022-02-20 15:16:34+00:00,0
37,@stcpay_ksa خدمة سيئه  انا محول من تطبيق هنقرستيشن بتأريخ ١٤مبلغ ٣٢٥ريال سحبت عليا من التطبيق وماوصلتني للان والتواصل معكم صعب جداً,0,2022-02-20 13:54:32+00:00,0
38,"RT @meshari_m89: @stcpay_ksa لو سمحتوا ما يصير الاستغفال هذا 
ترجعون التطبيق ونفس المشكله المبلغ غير موجود في المحفظه ( خمسة آلاف ) 

خدمة…",0,2022-02-20 13:48:16+00:00,1
39,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 11:43:08+00:00,105
40,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 11:09:10+00:00,105
41,"اسوء تطبيق واسوء خدمة عملاء 

لي اسبوع احاول اتواصل معهم ولا احد يرد علي، لا على الرقم ولا على تويتر 
 
@stcpay_ksa",0,2022-02-20 11:02:18+00:00,0
42,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 10:57:36+00:00,105
43,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 10:42:09+00:00,105
44,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 10:17:34+00:00,105
45,"@stcpay_ksa لو سمحتوا ما يصير الاستغفال هذا 
ترجعون التطبيق ونفس المشكله المبلغ غير موجود في المحفظه ( خمسة آلاف ) 

خدمة عملاء محد يرد ؟! تطبيق برضو محد يرد 

للأسف بنكمل أسبوع على هالحاله",1,2022-02-20 07:32:29+00:00,1
46,"RT @AZK_SA: بعد تعطل خدمة Stcpay لعدة أيام, تطبيق urpay التابع لمصرف الراجحي, يكثف حملاته التسويقة للتطبيق.

مصائب قوم عند قوم فوائد 😅

تعط…",0,2022-02-20 07:20:43+00:00,105
